,article_name,country,revision_id,article_quality,population
234,Nin Saphon,Cambodia,779541481,Stub,16
235,Tioulong Saumura,Cambodia,779541578,Start,16
236,Som Kimsuor,Cambodia,779541650,Stub,16
237,Suy Sem,Cambodia,780608915,Stub,16
238,Sourn Serey Ratha,Cambodia,780691538,Stub,16
239,Ly Son,Cambodia,782622853,Stub,16
240,Ly Thuch,Cambodia,782622857,Stub,16
241,List of heads of state of Cambodia,Cambodia,782894395,C,16
242,Son Sann,Cambodia,783107330,C,16
243,Mam Bun Neang,Cambodia,783142781,Stub,16
244,Chan Sarun,Cambodia,783239117,Stub,16
245,Mao Monyvann,Cambodia,783294124,Stub,16
246,Men Sam An,Cambodia,784442393,Stub,16
247,Mey Norn,Cambodia,784629286,Stub,16
248,Sok An,Cambodia,784962640,C,16
249,Yem Sambaur,Cambodia,786198076,Start,16
250,Yim Sovann,Cambodia,786409843,C,16
251,Ek Yi Oun,Cambodia,786826707,Stub,16
252,Lu Laysreng,Cambodia,787016670,Stub,16
253,Math Ly,Cambodia,787260537,Stub,16
254,Chem Widhya,Cambodia,787978108,Start,16
255,Pa Socheatvong,Cambodia,788070748,Stub,16
256,Governor of Phnom Penh,Cambodia,788070776,Stub,16
257,Son Sen,Cambodia,788368060,C,16
258,Pen Sovan,Cambodia,788398926,Start,16
259,Sak Sutsakhan,Cambodia,788540352,C,16
260,Amath Yashya,Cambodia,788758065,Stub,16
261,Tong Siv Eng,Cambodia,788799479,Stub,16
262,Norodom Chakrapong,Cambodia,788905950,GA,16
263,Prak Sokhon,Cambodia,790023943,Start,16
264,Khieu Samphan,Cambodia,792012094,C,16
265,Sisowath Sirik Matak,Cambodia,792274582,C,16
266,Sam Sary,Cambodia,792556486,Start,16
267,Tou Samouth,Cambodia,792731504,Start,16
268,Yun Yat,Cambodia,793218721,Stub,16
269,Khieu Ponnary,Cambodia,793723115,Start,16
270,Cham Prasidh,Cambodia,793746447,Start,16
271,Ung Huot,Cambodia,794239262,Start,16
272,Veng Sereyvuth,Cambodia,794714434,Stub,16
273,Ieng Mouly,Cambodia,795214039,Stub,16
274,Pou Sothirak,Cambodia,796696955,Stub,16
275,Chea Sim,Cambodia,797224256,C,16
276,Hu Nim,Cambodia,797444265,C,16
277,Sim Var,Cambodia,797618265,Start,16
278,Bin Chhin,Cambodia,797673057,Stub,16
279,Sim Ka,Cambodia,798039997,Stub,16
280,Hou Yuon,Cambodia,798241496,C,16
281,Phiset Phanit,Cambodia,799124051,Stub,16
282,Norodom Sihanouk,Cambodia,799302232,FA,16
283,Pao Ham Phan,Cambodia,799453681,Stub,16
284,Heng Samrin,Cambodia,799719505,Start,16
285,Kang Kek Iew,Cambodia,799772448,C,16
286,Leng Ngeth,Cambodia,800087187,Stub,16
287,Spouse of the Prime Minister of Cambodia,Cambodia,800348414,Stub,16
288,Nhiek Tioulong,Cambodia,801079233,Start,16
289,Keo Puth Rasmey,Cambodia,801523347,Stub,16
290,Khem Veasna,Cambodia,802456666,C,16
291,Tea Banh,Cambodia,802643748,Start,16
292,Ieng Sary,Cambodia,802839704,C,16
293,Son Ngoc Minh,Cambodia,803084525,Start,16
294,List of monarchs of Cambodia,Cambodia,803230439,C,16
295,Ran Serey Leakhena,Cambodia,803481048,Stub,16
296,Lon Non,Cambodia,803936929,C,16
297,Lon Nil,Cambodia,803936986,Start,16
298,Mu Sochua,Cambodia,804631223,C,16
299,Penn Nouth,Cambodia,804717865,Start,16
300,Hang Chuon Naron,Cambodia,804785628,Start,16
301,Hong Sun Huot,Cambodia,805459200,Stub,16
302,Sam Rainsy,Cambodia,805740662,C,16
303,Nuon Chea,Cambodia,805876135,GA,16
304,Kao Kim Hourn,Cambodia,805905770,B,16
305,Ieng Thirith,Cambodia,806833311,C,16
306,Chau Sen Cocsal Chhum,Cambodia,806931313,C,16
307,Sar Kheng,Cambodia,806997998,C,16
308,Aun Pornmoniroth,Cambodia,807003284,Start,16
309,Lon Nol,Cambodia,807025761,GA,16
310,Robert Douglas Cook,Canada,401577829,Stub,37.2
311,List of Canadian incumbents by year,Canada,477962574,Stub,37.2
312,List of 2009 Canadian incumbents,Canada,632008524,Start,37.2
313,Rossy Barbour,Canada,653527941,Stub,37.2
314,Les Scheininger,Canada,667821864,C,37.2
315,Patrick Canning,Canada,667873261,Start,37.2
316,Gerald Hill (politician),Canada,670917017,Stub,37.2
317,John R. O'Dea,Canada,670971940,Stub,37.2
318,Samuel J. Hefferton,Canada,671122320,Start,37.2
319,Alexander Dunphy,Canada,676610041,Stub,37.2
320,Gordon Dawe,Canada,676612108,Stub,37.2
321,Paul Thoms,Canada,676732644,Stub,37.2
322,Frederick B. Rowe,Canada,676734572,Stub,37.2
323,Allan Evans (politician),Canada,676782180,Stub,37.2
324,Luke Woodrow,Canada,676947124,Stub,37.2
325,William G. Patterson,Canada,677094551,Stub,37.2
326,Freeman White (politician),Canada,677724847,Stub,37.2
327,William J. MacNeil,Canada,677769770,Stub,37.2
328,John Collins (Canadian politician),Canada,679623758,Stub,37.2
329,Barry Hynes,Canada,680618797,Stub,37.2
330,Brendan Howard,Canada,684050793,Stub,37.2
331,Wilson Callan,Canada,684903534,Stub,37.2
332,Rod Moores,Canada,684903869,Stub,37.2
333,List of 2010 Canadian incumbents,Canada,688697227,Start,37.2
334,Harold Collins (Canadian politician),Canada,690205437,Stub,37.2
335,Speaker of the Legislative Assembly of the Province of Canada,Canada,691747234,Stub,37.2
336,"Rhinoceros Party of Canada candidates, 1980 Canadian federal election",Canada,698077739,Stub,37.2
337,David John Rankin,Canada,703226576,Stub,37.2
338,Robert Melville Smith,Canada,704136762,Stub,37.2
339,Myra Freeman,Canada,704516768,Start,37.2
340,Evelyn Shannon,Canada,705247791,Stub,37.2
341,George Little (Manitoba politician),Canada,705386024,Stub,37.2
342,Michael Rojeski,Canada,705436088,Stub,37.2
343,Gudmundur Fjelsted,Canada,705539849,Stub,37.2
344,Samuel Fletcher,Canada,705547266,Stub,37.2
345,John Crane (Canadian politician),Canada,706430270,Stub,37.2
346,Milton Peach,Canada,706597779,Stub,37.2
347,Claude Sheppard,Canada,706758502,Stub,37.2
348,Don Hollett,Canada,706934829,Stub,37.2
349,Art Reid,Canada,706942745,Stub,37.2
350,David Secord,Canada,707172907,Stub,37.2
351,Wally Firth,Canada,707297623,Stub,37.2
352,William R. Smallwood,Canada,707632311,Stub,37.2
353,C. Maxwell Lane,Canada,707684781,Stub,37.2
354,Charles Poulin,Canada,708179175,Stub,37.2
355,Pierre-Luc Paquette,Canada,708813010,Stub,37.2
356,Francis Badgley (merchant),Canada,708885126,Stub,37.2
357,Michel Sikyea,Canada,708967094,Start,37.2
358,List of 2003 Canadian incumbents,Canada,709329316,Start,37.2
359,List of 2004 Canadian incumbents,Canada,709329425,Start,37.2
360,List of 2002 Canadian incumbents,Canada,709407679,Start,37.2
361,List of 2001 Canadian incumbents,Canada,709407789,Start,37.2
362,List of 2000 Canadian incumbents,Canada,709408821,Start,37.2
363,List of 1999 Canadian incumbents,Canada,709408830,Start,37.2
364,List of 1998 Canadian incumbents,Canada,709408965,Start,37.2
365,Sonnee Cohen,Canada,709455764,Start,37.2
366,List of 1997 Canadian incumbents,Canada,709491780,Start,37.2
367,List of 1996 Canadian incumbents,Canada,709492005,Start,37.2
368,List of 1995 Canadian incumbents,Canada,709492007,Start,37.2
369,List of 1994 Canadian incumbents,Canada,709492025,Start,37.2
370,List of 1992 Canadian incumbents,Canada,709492105,Start,37.2
371,List of 1991 Canadian incumbents,Canada,709492467,Start,37.2
372,List of 1990 Canadian incumbents,Canada,709492558,Start,37.2
373,List of 2005 Canadian incumbents,Canada,709519440,Start,37.2
374,Cyril Keeper,Canada,710575028,C,37.2
375,Adam Aptowitzer,Canada,710619647,Stub,37.2
376,Yvon Picotte,Canada,710753764,Start,37.2
377,James Atebe,Canada,711104781,Stub,37.2
378,List of 2007 Canadian incumbents,Canada,711603471,Start,37.2
379,Thomas Barnaby,Canada,712417981,Stub,37.2
380,Mark Evaloarjuk,Canada,712579431,Start,37.2
381,Jacques Bizard,Canada,712601441,Stub,37.2
382,Lawrence Martin (musician),Canada,712973728,C,37.2
383,Denis Viger,Canada,713249389,Stub,37.2
384,Aidan Maloney,Canada,713981300,Stub,37.2
385,Grafton Njootli,Canada,714172218,Stub,37.2
386,William Albert Boucher,Canada,714722019,Start,37.2
387,Marvin Gelber,Canada,715055224,Stub,37.2
388,Robert Robertson (politician),Canada,715359989,Stub,37.2
389,James H. Stuart,Canada,715457941,Stub,37.2
390,Maxime Lépine,Canada,716489196,Stub,37.2
391,Ambroise-Dydime Lépine,Canada,716690197,Stub,37.2
392,W. Garfield Case,Canada,716908156,C,37.2
393,Guy Williams (politician),Canada,716924009,Stub,37.2
394,May Birchard,Canada,716960979,Start,37.2
395,William Todd (1803–1873),Canada,717061600,Stub,37.2
396,Albert Planta,Canada,717154850,Stub,37.2
397,Jacques Viger (Member of the Assembly),Canada,717397656,Stub,37.2
398,Alexander Kennedy Isbister,Canada,717547859,Stub,37.2
399,Stuart Lyon Smith,Canada,717897492,Start,37.2
400,Michel Bénard,Canada,718265809,Stub,37.2
401,Maurice Laframboise,Canada,718852428,Start,37.2
402,James Isbister,Canada,719597828,Start,37.2
403,Jean-Charles Chapais,Canada,719598088,Start,37.2
404,List of 1993 Canadian incumbents,Canada,720131548,Start,37.2
405,List of 1989 Canadian incumbents,Canada,720131554,Start,37.2
406,List of 1988 Canadian incumbents,Canada,720131559,Start,37.2
407,List of 2008 Canadian incumbents,Canada,720133136,Start,37.2
408,John Judah Glass,Canada,720256444,Start,37.2
409,List of 1867 Canadian incumbents,Canada,721006116,Stub,37.2
410,Lazarus Phillips,Canada,721093245,Start,37.2
411,Samuel Hume Blake,Canada,721792566,Stub,37.2
412,Gilles Houde,Canada,722043055,Stub,37.2
413,Brenda Paris,Canada,723148572,C,37.2
414,Henry Judah,Canada,723249393,Stub,37.2
415,Rupert Bartlett,Canada,723252411,Stub,37.2
416,Peter Bercovitch,Canada,723253555,Start,37.2
417,Maurice Hartt,Canada,723253656,Start,37.2
418,Jerome Dinn,Canada,723271862,Stub,37.2
419,René Matteau,Canada,723308478,Stub,37.2
420,Tom Hickey (politician),Canada,723348093,Start,37.2
421,Myles Murray,Canada,723377038,Stub,37.2
422,Frederick Langdon Hubbard,Canada,723694660,Stub,37.2
423,David J. Reimer,Canada,724052271,No prediction,37.2
424,Stephen Wallace (public servant),Canada,724068863,Stub,37.2
425,Harry Blank,Canada,724678615,Start,37.2
426,Hubert Kitchen,Canada,725395350,Stub,37.2
427,Uriah Strickland,Canada,725401345,Stub,37.2
428,Aubrey Gover,Canada,725401404,Stub,37.2
429,Alec Moores,Canada,725403647,Stub,37.2
430,Eugene Hiscock,Canada,725404809,Stub,37.2
431,H.R.V. Earle,Canada,725409378,Stub,37.2
432,Glenn Tobin,Canada,725417107,Stub,37.2
433,W. George Cross,Canada,726662002,Stub,37.2
434,François Beaulieu II,Canada,728457018,C,37.2
435,Alexander Macdonell of Greenfield,Canada,729104207,Stub,37.2
436,Steve Owens (politician),Canada,729767652,Start,37.2
437,Howard McCurdy,Canada,730002481,Start,37.2
438,Jeremy Akerman,Canada,730706462,C,37.2
439,Office-holders of Canada,Canada,730830430,Start,37.2
440,Louis Singer,Canada,733451024,Start,37.2
441,Edward Whelan (Canadian politician),Canada,734484063,Start,37.2
442,Wilfred McDonald,Canada,734799659,Start,37.2
443,Kevin Parsons Sr.,Canada,735721150,Stub,37.2
444,Hugh Twomey,Canada,735809835,Start,37.2
445,Alexander Grant Dallas,Canada,736826045,Stub,37.2
446,John L. Brown (Ontario politician),Canada,737118230,Stub,37.2
447,Jean Baptiste Wilkie,Canada,738242188,Start,37.2
448,Marcel Hatch,Canada,738514517,No prediction,37.2
449,Stanley Hall (politician),Canada,738943928,Stub,37.2
450,Samuel Genest,Canada,739134923,Start,37.2
451,David Berger (Canadian politician),Canada,740276158,Start,37.2
452,David Rotenberg,Canada,740276869,C,37.2
453,Aubrey Senior,Canada,740441527,Stub,37.2
454,Neil Fraser (civil servant),Canada,740482412,Stub,37.2
455,Thomas McKay (Northwest Territories politician),Canada,740863576,Start,37.2
456,Peter Fraser (Northwest Territories politician),Canada,740863717,Stub,37.2
457,Ron Ghitter,Canada,741266718,Start,37.2
458,Esau Schafer,Canada,742618365,Stub,37.2
459,Michael S. Martin,Canada,742989409,Stub,37.2
460,Wayne Jim,Canada,743342114,Stub,37.2
461,William Angus Dickson,Canada,743352732,Stub,37.2
462,James Laxer,Canada,743802406,Start,37.2
463,Robert Duncan Wilmot,Canada,743934426,Start,37.2
464,William Steeves,Canada,744260793,Start,37.2
465,List of Canadian ministries,Canada,744493549,Start,37.2
466,John Hamilton Gray (New Brunswick politician),Canada,744724453,Start,37.2
467,Lawrence Armstrong,Canada,744726413,Start,37.2
468,Peter Mitchell (politician),Canada,744887895,Start,37.2
469,George Benjamin (Orangeman),Canada,745111909,Start,37.2
470,Jean Alfred,Canada,745448033,Start,37.2
471,Moe Mantha Sr.,Canada,745453138,Start,37.2
472,Samuel Factor (Canadian politician),Canada,745678622,Start,37.2
473,Leon Crestohl,Canada,746467178,Start,37.2
474,Frederick E. Harrison,Canada,746471129,Start,37.2
475,Solomon Hart Green,Canada,746727879,Start,37.2
476,George T. Marsh,Canada,746891841,Stub,37.2
477,J. A. McCaul,Canada,746916216,Stub,37.2
478,John O'Neill (Canadian politician),Canada,747526324,Start,37.2
479,George Coles (politician),Canada,748140172,Start,37.2
480,John William Ritchie,Canada,749483611,Stub,37.2
481,Mickey Hennessy,Canada,749552058,Start,37.2
482,Jeff Rose,Canada,750062937,Start,37.2
483,Jacob Æmilius Irving,Canada,750436001,Start,37.2
484,John N. Anderson,Canada,751176274,Stub,37.2
485,Arthur S. Mifflin,Canada,751807970,Stub,37.2
486,Wallace House (politician),Canada,751987164,Start,37.2
487,Ernie Tate,Canada,752068111,Start,37.2
488,Yvon Dumont,Canada,753367995,C,37.2
489,James Cockburn (politician),Canada,753379799,Start,37.2
490,Firmin Monestime,Canada,755386512,Start,37.2
491,Elmer Knutson,Canada,756279684,Start,37.2
492,Ray Kingsmith,Canada,756291644,Start,37.2
493,David Smith (Quebec politician),Canada,756551426,Stub,37.2
494,Frantz Benjamin,Canada,756552638,Stub,37.2
495,Irving Gerstein,Canada,756554677,Start,37.2
496,Jonathan Valois,Canada,756555976,Stub,37.2
497,Leo Kolber,Canada,756556561,Start,37.2
498,Ovid Jackson,Canada,756558693,Stub,37.2
499,Richard Marceau,Canada,756570254,Start,37.2
500,Russell Copeman,Canada,756570822,Start,37.2
501,Yoine Goldstein,Canada,756572403,Start,37.2
502,Keith Goulet,Canada,756574108,Stub,37.2
503,Ovide Alakannuark,Canada,756585976,Stub,37.2
504,Ron Elliott (politician),Canada,756585982,Stub,37.2
505,David Iqaqrialu,Canada,756585983,Stub,37.2
